State,Single,Double,Triple,HR
000 0,100 0,010 0,001 0,000 0
000 1,100 1,010 1,001 1,000 1
000 2,100 2,010 2,001 2,000 2
100 0,110 0,011 0,001 0,000 0
100 1,110 1,011 1,001 1,000 1
100 2,110 2,011 2,001 2,000 2
010 0,101 0,010 0,001 0,000 0
010 1,101 1,010 1,001 1,000 1
010 2,101 2,010 2,001 2,000 2
001 0,100 0,010 0,001 0,000 0
001 1,100 1,010 1,001 1,000 1
001 2,100 2,010 2,001 2,000 2
110 0,111 0,011 0,001 0,000 0
110 1,111 1,011 1,001 1,000 1
110 2,111 2,011 2,001 2,000 2
011 0,101 0,010 0,001 0,000 0
011 1,101 1,010 1,001 1,000 1
011 2,101 2,010 2,001 2,000 2
101 0,110 0,011 0 ,001 0,000 0
101 1,110 1,011 1,001 1,000 1
101 2,110 2,011 2,001 2,000 2
111 0,111 0,011 0,001 0,000 0
111 1,111 1,011 1,001 1,000 1
111 2,111 2,011 2,001 2,000 2